ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,Abiotrophia defectiva,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,proline-arylamidase
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,1,Absicoccus porci,+,arginine arylamidase
,,,,,,+,histidine arylamidase
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,1,Abyssibacter profundi,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,Acanthopleuribacter pedis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,N-acetyl-beta-glucosaminidase
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,Acaricomes phytoseiuli,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
,,,,,,+,urease
160325,SAP-6,"DSM 104038, KCTC 52622",1,1,Acerihabitans arboris,+,beta-glucosidase
134101,Z7,"JCM 12359, AS 1.5012",1,1,Acetanaerobacterium elongatum,+,gelatinase
164491,HSLZ-75,"JCM 33270, CICC 6269",1,1,Acetilactobacillus jinshanensis,+,acid phosphatase
,,,,,,+,leucine arylamidase
,,,,,,+,valine arylamidase
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,1,Acetivibrio cellulolyticus,+,beta-glucosidase
,,,,,,+,cellulase
,,,,,,+,gelatinase
