ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Utilization activity,Metabolite (production)
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,1,Abiotrophia defectiva,+,acetoin
,,,,,,,indole
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,1,Acanthopleuribacter pedis,+,indole
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,1,Acaricomes phytoseiuli,+,indole
160325,SAP-6,"DSM 104038, KCTC 52622",1,1,Acerihabitans arboris,+,indole
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,1,Acetivibrio cellulolyticus,+,indole
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,1,Acetivibrio clariflavus,+,acetate
,,,,,,,carbon dioxide
,,,,,,,dihydrogen
,,,,,,,DL-lactate
,,,,,,,ethanol
,,,,,,,formate
,,,,,,,indole
132679,GGR1,"DSM 101079, CECT 9155",1,1,Acetivibrio saccincola,+,indole
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,1,Acetivibrio straminisolvens,+,indole
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,1,Acetobacter cerevisiae,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
,,,,,,,indole
23,"985, R-36330","DSM 19596, LMG 24244",1,1,Acetobacter fabarum,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
,,,,,,,D-gluconate
22,"430A, R-29337","DSM 18895, LMG 23848",1,1,Acetobacter ghanensis,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
,,,,,,,D-gluconate
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,1,Acetobacter malorum,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
,,,,,,,indole
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,1,Acetobacter nitrogenifigens,+,4h-pyran-4-one
,,,,,,,dihydroxyacetone
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,1,Acetobacter oeni,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
,,,,,,,indole
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,1,Acetobacter orientalis,+,indole
11,,"DSM 11825, LTH 2458, CIP 105762",1,1,Acetobacter pomorum,+,2-dehydro-D-gluconate
,,,,,,,cellulose
,,,,,,,dihydroxyacetone
21,CWBI-B418,"DSM 18889, LMG 23690",1,1,Acetobacter senegalensis,+,2-dehydro-D-gluconate
,,,,,,,5-dehydro-D-gluconate
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,1,Acetomicrobium mobile,+,acetate
,,,,,,,dihydrogen
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,1,Achromobacter aegrifaciens,+,indole
140509,,"LMG 3411, CCUG 62454",1,1,Achromobacter agilis,+,hydrogen sulfide
,,,,,,,indole
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,1,Achromobacter aloeverae,+,indole
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,1,Achromobacter animicus,+,indole
140506,,"LMG 3458, CCUG 62433",1,1,Achromobacter deleyi,+,hydrogen sulfide
,,,,,,,indole
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,1,Achromobacter denitrificans,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,1,Achromobacter dolens,+,indole
