#OTU	ID	taxonomy
1	1.0	Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;utsteinense
2	1.0	Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva
3	1.0	Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Absicoccus;porci
4	1.0	Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Abyssalbus;ytuae
5	1.0	Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Abyssibacter;profundi
6	1.0	Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Abyssibius;alkaniclasticus
7	1.0	Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Abyssicoccus;albus
8	1.0	Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Abyssisolibacter;fermentans
9	1.0	Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;pedis
10	1.0	Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Acaricomes;phytoseiuli
11	1.0	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Acerihabitans;arboris
12	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium;elongatum
13	1.0	Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor;aquisgranensis
14	1.0	Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Acetatifactor;muris
15	1.0	Bacillota;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Aceticella;autotrophica
16	1.0	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Acetilactobacillus;jinshanensis
17	1.0	Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Acetitomaculum;ruminis
18	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;aldrichii
19	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;alkalicellulosi
20	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;cellulolyticus
21	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;clariflavus
22	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;ethanolgignens
23	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;mesophilus
24	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;saccincola
25	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;straminisolvens
26	1.0	Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;thermocellus
27	1.0	Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Acetoanaerobium;noterae
28	1.0	Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Acetoanaerobium;pronyense
29	1.0	Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Acetoanaerobium;sticklandii
30	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;aceti
31	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;cerevisiae
32	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;cibinongensis
33	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;conturbans
34	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;estunensis
35	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;fabarum
36	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;fallax
37	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;farinalis
38	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;garciniae
39	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;ghanensis
40	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;indonesiensis
41	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;lambici
42	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;lovaniensis
43	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;malorum
44	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;musti
45	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;nitrogenifigens
46	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;oeni
