"","LPSN_ID","FAPROTAX2_Type_of_metabolism"
"1",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;aerobic_anoxygenic_phototrophy;phototrophy"
"2",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"3",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"4",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"5",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"6",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"7",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"8",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"9",NA,"nitrogen_fixation;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"10",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"11",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"12",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"13",NA,"oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy"
"14",NA,"nitrogen_fixation;aerobic_chemoheterotrophy;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"15",NA,"nitrogen_fixation;aerobic_chemoheterotrophy;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"16",NA,"nitrogen_fixation;aerobic_chemoheterotrophy;oxygenic_photoautotrophy;photoautotrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"17",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"18",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"19",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"20",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"21",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
"22",NA,"oxygenic_photoautotrophy;photoautotrophy;phototrophy"
