LPSN_ID,FAPROTAX2_Type_of_metabolism
787664,oxygenic_photoautotrophy;photoautotrophy;phototrophy
48388,oxygenic_photoautotrophy;photoautotrophy;phototrophy
38247,oxygenic_photoautotrophy;photoautotrophy;phototrophy
22979,oxygenic_photoautotrophy;photoautotrophy;phototrophy
31247,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6624,oxygenic_photoautotrophy;photoautotrophy;phototrophy
7717,oxygenic_photoautotrophy;photoautotrophy;phototrophy
26391,oxygenic_photoautotrophy;photoautotrophy;phototrophy
29302,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6551,oxygenic_photoautotrophy;photoautotrophy;phototrophy
20182,oxygenic_photoautotrophy;photoautotrophy;phototrophy
20194,oxygenic_photoautotrophy;photoautotrophy;phototrophy
18872,oxygenic_photoautotrophy;photoautotrophy;phototrophy
29474,oxygenic_photoautotrophy;photoautotrophy;phototrophy
20174,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6734,oxygenic_photoautotrophy;photoautotrophy;phototrophy
62272,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6550,oxygenic_photoautotrophy;photoautotrophy;phototrophy
794502,oxygenic_photoautotrophy;photoautotrophy;phototrophy
31339,oxygenic_photoautotrophy;photoautotrophy;phototrophy
31348,oxygenic_photoautotrophy;photoautotrophy;phototrophy
8065,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6586,oxygenic_photoautotrophy;photoautotrophy;phototrophy
7083,oxygenic_photoautotrophy;photoautotrophy;phototrophy
16596,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6632,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6555,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6700,oxygenic_photoautotrophy;photoautotrophy;phototrophy
17750,oxygenic_photoautotrophy;photoautotrophy;phototrophy
7996,oxygenic_photoautotrophy;photoautotrophy;phototrophy
39832,oxygenic_photoautotrophy;photoautotrophy;phototrophy
8204,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6670,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6671,oxygenic_photoautotrophy;photoautotrophy;phototrophy
133,oxygenic_photoautotrophy;photoautotrophy;phototrophy
40364,oxygenic_photoautotrophy;photoautotrophy;phototrophy
20047,oxygenic_photoautotrophy;photoautotrophy;phototrophy
50984,oxygenic_photoautotrophy;photoautotrophy;phototrophy
20000,oxygenic_photoautotrophy;photoautotrophy;phototrophy
65671,oxygenic_photoautotrophy;photoautotrophy;phototrophy
45116,oxygenic_photoautotrophy;photoautotrophy;phototrophy
6717,oxygenic_photoautotrophy;photoautotrophy;phototrophy
