"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Parathermosynechococcus","lividus",NA,"NMU 6715; PCC 6715","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","48388","https://lpsn.dsmz.de/species/parathermosynechococcus-lividus"
"Pseudocalidococcus","azoricus",NA,"AZB 4202; BACA 444","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","14980","https://lpsn.dsmz.de/species/pseudocalidococcus-azoricus"
"Thermosynechococcus","vestitus",NA,"BP-1; CBFS A-120-1; NIES 2133","Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","38247","https://lpsn.dsmz.de/species/thermosynechococcus-vestitus"
"Aegeococcus","anagnostidisii",NA,"TAU A01009; TAU-MAC 815","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","37366","https://lpsn.dsmz.de/species/aegeococcus-anagnostidisii"
"Aegeococcus","thuretii",NA,"TAU A01010; TAU-MAC 2015","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","37363","https://lpsn.dsmz.de/species/aegeococcus-thuretii"
"Alborzia","kermanshahica",NA,"CCC1399-a; CCC1399-b; MCC 4116","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","7222","https://lpsn.dsmz.de/species/alborzia-kermanshahica"
"Aphanocapsaopsis","ramapuraensis",NA,"PI. 2, fig. 12.","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","42000","https://lpsn.dsmz.de/species/aphanocapsaopsis-ramapuraensis"
"Aphanocapsaopsis","sitholeyi",NA,"Slide 4929","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","42001","https://lpsn.dsmz.de/species/aphanocapsaopsis-sitholeyi"
"Asterocapsoides","sinensis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","40637","https://lpsn.dsmz.de/species/asterocapsoides-sinensis"
"Bigeminococcus","lamellosus",NA,"Paleobot. Coll. Harvard Univ. 58622","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","35131","https://lpsn.dsmz.de/species/bigeminococcus-lamellosus"
"Bigeminococcus","mucidus",NA,"Paleobot. Coll. Harvard Univ. 58632","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33459","https://lpsn.dsmz.de/species/bigeminococcus-mucidus"
"Bisacculoides","grandis",NA,"CPC 16927","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","45260","https://lpsn.dsmz.de/species/bisacculoides-grandis"
"Bisacculoides","tabeoviscus",NA,"CPC 16928","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","44324","https://lpsn.dsmz.de/species/bisacculoides-tabeoviscus"
"Bisacculoides","vacua",NA,"CPC 16925","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","45261","https://lpsn.dsmz.de/species/bisacculoides-vacua"
"Chroococcus","aeruginosus",NA,"382 a","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","38508","https://lpsn.dsmz.de/species/chroococcus-aeruginosus"
"Chroococcus","alpinus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","47742","https://lpsn.dsmz.de/species/chroococcus-alpinus"
"Chroococcus","atrochalybeus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","40437","https://lpsn.dsmz.de/species/chroococcus-atrochalybeus"
"Chroococcus","atrovirens",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","43157","https://lpsn.dsmz.de/species/chroococcus-atrovirens"
"Chroococcus","aurantiacus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33528","https://lpsn.dsmz.de/species/chroococcus-aurantiacus"
"Chroococcus","aurantiofuscus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","56810","https://lpsn.dsmz.de/species/chroococcus-aurantiofuscus"
"Chroococcus","aurantius",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","46714","https://lpsn.dsmz.de/species/chroococcus-aurantius"
"Chroococcus","aureoviridis",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","54060","https://lpsn.dsmz.de/species/chroococcus-aureoviridis"
"Chroococcus","aureus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54158","https://lpsn.dsmz.de/species/chroococcus-aureus"
"Chroococcus","bataviae",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51223","https://lpsn.dsmz.de/species/chroococcus-bataviae"
"Chroococcus","bernardii",NA,"Figure 4,5","Species; nom. nov.; validly published under the ICN (Botanical Code); correct name","51737","https://lpsn.dsmz.de/species/chroococcus-bernardii"
"Chroococcus","bituminosus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","53781","https://lpsn.dsmz.de/species/chroococcus-bituminosus"
"Chroococcus","brunneus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54857","https://lpsn.dsmz.de/species/chroococcus-brunneus"
"Chroococcus","calcicola",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49463","https://lpsn.dsmz.de/species/chroococcus-calcicola"
