"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Abditibacterium","utsteinense",NA,"DSM 105287; LMG 29911; R-68213","VL; sp. nov.; validly published under the ICNP; correct name",797965,"https://lpsn.dsmz.de/species/abditibacterium-utsteinense"
"Abiotrophia","defectiva",NA,"ATCC 49176; CCUG 27639; CCUG 27804; CIP 103.242; DSM 9849; GIFU 12707; LMG 14740; SC 10","VP; comb. nov.; validly published under the ICNP; correct name",772468,"https://lpsn.dsmz.de/species/abiotrophia-defectiva"
"Absicoccus","porci",NA,"JCM 32769; KCTC 15747; YH-panp20","VP; sp. nov.; validly published under the ICNP; correct name",5758,"https://lpsn.dsmz.de/species/absicoccus-porci"
"Abyssalbus","ytuae",NA,"KCTC 82823; MCCC 1K06012; MT3330","VP; sp. nov.; validly published under the ICNP; correct name",29444,"https://lpsn.dsmz.de/species/abyssalbus-ytuae"
"Abyssibacter","profundi",NA,"KCTC 52933; MCCC 1K03450; OUC007","VP; sp. nov.; validly published under the ICNP; correct name",797925,"https://lpsn.dsmz.de/species/abyssibacter-profundi"
"Abyssibius","alkaniclasticus",NA,"960558; KCTC 82619; MCCC 1K04727","VP; sp. nov.; validly published under the ICNP; correct name",36886,"https://lpsn.dsmz.de/species/abyssibius-alkaniclasticus"
"Abyssicoccus","albus",NA,"CCTCC AB 2014213; DSM 29158; YIM M12140","VL; sp. nov.; validly published under the ICNP; correct name",794216,"https://lpsn.dsmz.de/species/abyssicoccus-albus"
"Abyssisolibacter","fermentans",NA,"JCM 31420; KCTC 15524; MCWD3","VL; sp. nov.; validly published under the ICNP; correct name",55696,"https://lpsn.dsmz.de/species/abyssisolibacter-fermentans"
"Acanthopleuribacter","pedis",NA,"DSM 28897; FYK2218; KCTC 12899; NBRC 101209","VP; sp. nov.; validly published under the ICNP; correct name",787601,"https://lpsn.dsmz.de/species/acanthopleuribacter-pedis"
"Acaricomes","phytoseiuli",NA,"CCUG 49701; CSC; DSM 14247; JCM 14300","VP; sp. nov.; validly published under the ICNP; correct name",772478,"https://lpsn.dsmz.de/species/acaricomes-phytoseiuli"
