"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address","Domain","Phylum","Class","Order","Family","Genus"
"Abditibacterium","utsteinense",NA,"DSM 105287; LMG 29911; R-68213","VL; sp. nov.; validly published under the ICNP; correct name",797965,"https://lpsn.dsmz.de/species/abditibacterium-utsteinense","Bacteria","Abditibacteriota","Abditibacteriia","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"Abiotrophia","defectiva",NA,"ATCC 49176; CCUG 27639; CCUG 27804; CIP 103.242; DSM 9849; GIFU 12707; LMG 14740; SC 10","VP; comb. nov.; validly published under the ICNP; correct name",772468,"https://lpsn.dsmz.de/species/abiotrophia-defectiva","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Absicoccus","porci",NA,"JCM 32769; KCTC 15747; YH-panp20","VP; sp. nov.; validly published under the ICNP; correct name",5758,"https://lpsn.dsmz.de/species/absicoccus-porci","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Absicoccus"
"Abyssalbus","ytuae",NA,"KCTC 82823; MCCC 1K06012; MT3330","VP; sp. nov.; validly published under the ICNP; correct name",29444,"https://lpsn.dsmz.de/species/abyssalbus-ytuae","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Abyssalbus"
"Abyssibacter","profundi",NA,"KCTC 52933; MCCC 1K03450; OUC007","VP; sp. nov.; validly published under the ICNP; correct name",797925,"https://lpsn.dsmz.de/species/abyssibacter-profundi","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Salinisphaeraceae","Abyssibacter"
"Abyssibius","alkaniclasticus",NA,"960558; KCTC 82619; MCCC 1K04727","VP; sp. nov.; validly published under the ICNP; correct name",36886,"https://lpsn.dsmz.de/species/abyssibius-alkaniclasticus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Abyssibius"
"Abyssicoccus","albus",NA,"CCTCC AB 2014213; DSM 29158; YIM M12140","VL; sp. nov.; validly published under the ICNP; correct name",794216,"https://lpsn.dsmz.de/species/abyssicoccus-albus","Bacteria","Bacillota","Bacilli","Caryophanales","Staphylococcaceae","Abyssicoccus"
"Abyssisolibacter","fermentans",NA,"JCM 31420; KCTC 15524; MCWD3","VL; sp. nov.; validly published under the ICNP; correct name",55696,"https://lpsn.dsmz.de/species/abyssisolibacter-fermentans","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Abyssisolibacter"
"Acanthopleuribacter","pedis",NA,"DSM 28897; FYK2218; KCTC 12899; NBRC 101209","VP; sp. nov.; validly published under the ICNP; correct name",787601,"https://lpsn.dsmz.de/species/acanthopleuribacter-pedis","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae","Acanthopleuribacter"
"Acaricomes","phytoseiuli",NA,"CCUG 49701; CSC; DSM 14247; JCM 14300","VP; sp. nov.; validly published under the ICNP; correct name",772478,"https://lpsn.dsmz.de/species/acaricomes-phytoseiuli","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Acaricomes"
"Acerihabitans","arboris",NA,"DSM 104038; KCTC 52622; SAP-6","VP; sp. nov.; validly published under the ICNP; correct name",17738,"https://lpsn.dsmz.de/species/acerihabitans-arboris","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Acerihabitans"
"Acetanaerobacterium","elongatum",NA,"CGMCC 1.5012; JCM 12359; Z7","VP; sp. nov.; validly published under the ICNP; correct name",783232,"https://lpsn.dsmz.de/species/acetanaerobacterium-elongatum","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetanaerobacterium"
"Acetatifactor","aquisgranensis",NA,"CLA AA-M01; DSM 110981; JCM 36051","VL; sp. nov.; validly published under the ICNP; correct name",43744,"https://lpsn.dsmz.de/species/acetatifactor-aquisgranensis","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor"
"Acetatifactor","muris",NA,"ATCC BAA-2170; CT-m2; DSM 23669","VL; sp. nov.; validly published under the ICNP; correct name",790255,"https://lpsn.dsmz.de/species/acetatifactor-muris","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetatifactor"
"Aceticella","autotrophica",NA,"3443-3Ac; DSM 108286; VKM B-3415","VL; sp. nov.; validly published under the ICNP; correct name",46550,"https://lpsn.dsmz.de/species/aceticella-autotrophica","Bacteria","Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Aceticella"
"Acetilactobacillus","jinshanensis",NA,"CICC 6269; HSLZ-75; JCM 33270","VP; sp. nov.; validly published under the ICNP; correct name",5493,"https://lpsn.dsmz.de/species/acetilactobacillus-jinshanensis","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Acetilactobacillus"
"Acetitomaculum","ruminis",NA,"ATCC 43876; DSM 5522; Strain 139B","VL; sp. nov.; validly published under the ICNP; correct name",772479,"https://lpsn.dsmz.de/species/acetitomaculum-ruminis","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Acetitomaculum"
"Acetivibrio","aldrichii",NA,"ATCC 49358; DSM 6159; OCM 112; OGI 112; P-1","VP; comb. nov.; validly published under the ICNP; correct name",5941,"https://lpsn.dsmz.de/species/acetivibrio-aldrichii","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
"Acetivibrio","alkalicellulosi",NA,"DSM 17461; VKM 2349; VKM B-2349; Z-7026","VP; comb. nov.; validly published under the ICNP; correct name",5943,"https://lpsn.dsmz.de/species/acetivibrio-alkalicellulosi","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio"
