md,name,eq,way,ec,ko,rn,symbol,map,mdk
Wood Ljungdahl,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],Formate + NADP+ <=> CO2 + NADPH + H+,Bidirectional,1.17.1.10,K05299,R00134,fdhA,map00720,M00377
Wood Ljungdahl,"formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-], iron hydrogenase HydA2 [EC:1.12.7.-], FeS-containing electron transfer protein",Formate + 2 H+ <=> CO2 + Hydrogen,Bidirectional,1.17.98.5,"K22015, K25123, K25124",R12754,"fdhF, hydA2, hycB",map00720,M00377
Wood Ljungdahl,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],Formate + 2 H+ <=> CO2 + Hydrogen,Bidirectional,1.17.98.4,K22015,R09481,fdhF,NA,NA
Wood Ljungdahl,formate dehydrogenase [EC:1.17.1.9],Formate + NAD+ <=> H+ + CO2 + NADH,Bidirectional,1.17.1.9,K00122,R00519,FDH,"map00630, map00680",NA
Wood Ljungdahl,"formate dehydrogenase major subunit [EC:1.17.1.9], formate dehydrogenase iron-sulfur subunit, formate dehydrogenase subunit gamma",Formate + NAD+ <=> H+ + CO2 + NADH,Bidirectional,1.17.1.9,"K00123, K00124, K00127",R00519,"fdoG, fdoH, fdoI","map00630, map00680",NA
Wood Ljungdahl,"formate dehydrogenase (NAD+, ferredoxin) subunit A [EC:1.17.1.11], ferredoxin) subunit B [EC:1.17.1.11], ferredoxin) subunit C [EC:1.17.1.11], ferredoxin) subunit [EC:1.17.1.11]",2 Formate + NAD+ + 2 Oxidized ferredoxin <=> 2 CO2 + NADH + H+ + 2 Reduced ferredoxin,Bidirectional,1.17.1.11,"K22338, K22339, K22340, K22341",R11818,"hylA, hylB, hylC, fdhF2",NA,NA
Wood Ljungdahl,formate--tetrahydrofolate ligase [EC:6.3.4.3],Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate,Bidirectional,6.3.4.3,K01938,R00943,fhs,map00720,M00377
Wood Ljungdahl,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate,Bidirectional,6.3.4.3,K00288,R00943,MTHFD,map00720,NA
Wood Ljungdahl,"monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]",Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate,Bidirectional,6.3.4.3,K13402,R00943,MTHFD1L,map00720,NA
Wood Ljungdahl,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K00288,R01655,MTHFD,map00720,NA
Wood Ljungdahl,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K01491,R01655,folD,map00720,M00377
Wood Ljungdahl,"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]","5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K13403,R01655,MTHFD2,map00720,NA
Wood Ljungdahl,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K00288,R01220,MTHFD,map00720,NA
Wood Ljungdahl,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K01491,R01220,folD,map00720,M00377
Wood Ljungdahl,methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K00300,R01220,mtdA,map00720,NA
Wood Ljungdahl,methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54],"5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+",Bidirectional,"1.5.1.20, 1.5.1.54",K24042,R07168,yitJ,map00720,NA
Wood Ljungdahl,methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54],"5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+",Bidirectional,"1.5.1.20, 1.5.1.54",K00297,R07168,metF,map00720,M00377
Wood Ljungdahl,methylenetetrahydrofolate reductase [NAD(P)H] [EC:1.5.1.20],"5-Methyltetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + NADH + H+",Bidirectional,"1.5.1.20, 1.5.1.54",K25009,R07168,E1.5.1.20,map00720,NA
Wood Ljungdahl,5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258],5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate,Bidirectional,"2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389",K15023,R02289,acsE,map00720,M00377
Wood Ljungdahl,[methyl-Co(III) glycine betaine-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.378],5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate,Bidirectional,"2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389",K25221,R02289,mtgA,map00720,NA
Wood Ljungdahl,[methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.385],5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate,Bidirectional,"2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389",K25915,R02289,mtvA,map00720,NA
Wood Ljungdahl,[methyl-Co(III) quaternary-amine-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.389],5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate,Bidirectional,"2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389",K26930,R02289,mtqA,map00720,NA
Wood Ljungdahl,acetyl-CoA synthase [EC:2.3.1.169],Acetyl-CoA + Co(I) corrinoid protein + H+ <=> CO + Methyl-Co(III) corrinoid protein + CoA,Bidirectional,2.3.1.169,K14138,R08433,acsB,NA,NA
Wood Ljungdahl,anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4],CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+,Bidirectional,1.2.7.4,K00198,R07157,cooS,"map00680, map00720",NA
