md,name,eq,way,ec,ko,rn,symbol,map,mdk
Methane oxidation,"methane monooxygenase component A alpha chain [EC:1.14.13.25], methane monooxygenase component A beta chain [EC:1.14.13.25], methane monooxygenase component A gamma chain [EC:1.14.13.25], methane monooxygenase regulatory protein B, methane monooxygenase component C [EC:1.14.13.25], methane monooxygenase component D",Methane + Oxygen + NADH + H+ <=> Methanol + NAD+ + H2O,Bidirectional,1.14.13.25,"K16157, K16158, K16159, K16160, K16161, K16162",R01142,"mmoX, mmoY, mmoZ, mmoB, mmoC, mmoD",map00680,M00174
Methane oxidation,"methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39], methane/ammonia monooxygenase subunit B, methane/ammonia monooxygenase subunit C",Methane + Hydroquinone + Oxygen <=> Methanol + Quinone + H2O,Bidirectional,1.14.18.3,"K10944, K10945, K10946",R09518,"pmoA-amoA, pmoB-amoB, pmoC-amoC",map00680,M00174
Formaldehyde oxidation,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],Formaldehyde + NAD+ + H2O <=> Formate + NADH + H+,Forward,1.2.1.46,K00148,R00604,fdhA,map00680,NA
Formaldehyde oxidation,formaldehyde dismutase / methanol dehydrogenase [EC:1.2.98.1 1.1.99.37],2 Formaldehyde + H2O <=> Formate + Methanol,Forward,1.2.98.1,K17067,R00614,mdo,map00680,NA
Formaldehyde oxidation,formaldehyde dismutase [EC:1.2.98.1],2 Formaldehyde + H2O <=> Formate + Methanol,Forward,1.2.98.1,K17068,R00614,fdm,map00680,NA
Formaldehyde oxidation,lanthanide-dependent methanol dehydrogenase [EC:1.1.2.10],Methanol + 2 Ferricytochrome c <=> Formaldehyde + 2 Ferrocytochrome c + 2 H+,Forward,"1.1.2.7, 1.1.2.10",K23995,R01146,xoxF,map00680,M00174
Formaldehyde oxidation,methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7],Methanol + 2 Ferricytochrome c <=> Formaldehyde + 2 Ferrocytochrome c + 2 H+,Forward,"1.1.2.7, 1.1.2.10",K14028,R01146,mdh1,map00680,M00174
Formaldehyde oxidation,S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22],Glutathione + Formaldehyde <=> S-(Hydroxymethyl)glutathione,Forward,4.4.1.22,K03396,R06982,gfa,map00680,NA
Formaldehyde oxidation,S-formylglutathione hydrolase [EC:3.1.2.12],S-Formylglutathione + H2O <=> Formate + Glutathione,Bidirectional,3.1.2.12,K01070,R00527,frmB,map00680,NA
Formaldehyde oxidation,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],S-(Hydroxymethyl)glutathione + NAD+ <=> S-Formylglutathione + NADH + H+,Bidirectional,1.1.1.284,K00121,R06983,frmA,map00680,NA
Formaldehyde oxidation,"5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]","5,6,7,8-Tetrahydromethanopterin + Formaldehyde <=> 5,10-Methylenetetrahydromethanopterin + H2O",Forward,4.2.1.147,K10713,R08058,fae,map00680,NA
Formaldehyde oxidation,bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43],"5,6,7,8-Tetrahydromethanopterin + Formaldehyde <=> 5,10-Methylenetetrahydromethanopterin + H2O",Forward,4.2.1.147,K13812,R08058,fae-hps,map00680,M00345
Formaldehyde oxidation,methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-],"5,10-Methylenetetrahydromethanopterin + NADP+ <=> 5,10-Methenyltetrahydromethanopterin + NADPH",Bidirectional,NA,K10714,R08059,mtdB,map00680,NA
Formaldehyde oxidation,methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-],"5,10-Methylenetetrahydromethanopterin + NADP+ <=> 5,10-Methenyltetrahydromethanopterin + NADPH",Bidirectional,NA,K00300,R08059,mtdA,map00680,NA
Formaldehyde oxidation,methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27],"5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+",Bidirectional,3.5.4.27,K01499,R03464,mch,map00680,M00567
Formaldehyde oxidation,formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101],"Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin",Bidirectional,2.3.1.101,K00672,R03390,ftr,map00680,M00567
Formaldehyde oxidation,"formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]",Formylmethanofuran + H2O <=> Formate + Methanofuran,Bidirectional,1.2.7.12,"K00200, K00201, K00202",R08060,"fwdA, fwdB, fwdC",map00680,M00567
Formaldehyde oxidation,NA,"Tetrahydrofolate + Formaldehyde <=> 5,10-Methylenetetrahydrofolate + H2O",Forward,NA,NA,R09093,NA,NA,NA
Formaldehyde oxidation,methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15],"5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH",Bidirectional,1.5.1.15,K00295,R01218,MTD1,NA,NA
Formaldehyde oxidation,"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]","5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH",Bidirectional,1.5.1.15,K13403,R01218,MTHFD2,NA,NA
Formaldehyde oxidation,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K00288,R01220,MTHFD,map00720,NA
Formaldehyde oxidation,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K01491,R01220,folD,map00720,M00377
Formaldehyde oxidation,methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K00300,R01220,mtdA,map00720,NA
Formaldehyde oxidation,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K00288,R01655,MTHFD,map00720,NA
Formaldehyde oxidation,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K01491,R01655,folD,map00720,M00377
Formaldehyde oxidation,"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]","5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",Bidirectional,3.5.4.9,K13403,R01655,MTHFD2,map00720,NA
Formaldehyde oxidation,formyltetrahydrofolate deformylase [EC:3.5.1.10],10-Formyltetrahydrofolate + H2O <=> Formate + Tetrahydrofolate,Bidirectional,3.5.1.10,K01433,R00944,purU,map00630,NA
