md,name,eq,way,ec,ko,rn,symbol,map,mdk
Fructose utilization,fructokinase [EC:2.7.1.4],ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate,Forward,"2.7.1.1, 2.7.1.4",K00847,R00760,E2.7.1.4,"map00051, map00500",NA
Fructose utilization,hexokinase [EC:2.7.1.1],ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate,Forward,"2.7.1.1, 2.7.1.4",K00844,R00760,HK,"map00051, map00500",NA
Fructose utilization,ketohexokinase [EC:2.7.1.3],ATP + D-Fructose <=> ADP + D-Fructose 1-phosphate,Forward,2.7.1.3,K00846,R00866,KHK,map00051,NA
Fructose utilization,ketohexokinase [EC:2.7.1.3],ATP + D-Fructose <=> ADP + D-Fructose 1-phosphate,Forward,2.7.1.3,K27475,R00866,khk,map00051,NA
Fructose utilization,"fructose PTS system EIIA component [EC:2.7.1.202], fructose PTS system EIIB component [EC:2.7.1.202], fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]",Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate,Forward,2.7.1.202,"K02768, K02769, K02770",R03232,"fruB, fruAb, fruA",map00051,NA
Fructose utilization,"fructose PTS system EIID component, fructose PTS system EIIA component [EC:2.7.1.202], fructose PTS system EIIB component [EC:2.7.1.202], fructose PTS system EIIC component",Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate,Forward,2.7.1.202,"K02771, K11194, K11195, K11196",R03232,"levG, levD, levE, levF",map00051,NA
Fructose utilization,"mannose PTS system EIIA component [EC:2.7.1.191], mannose PTS system EIIC component, mannose PTS system EIID component",Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate,Forward,2.7.1.202,"K02793, K02795, K02796",R03232,"manXa, manY, manZ","map00051, NA",NA
Fructose utilization,1-phosphofructokinase [EC:2.7.1.56],"ATP + D-Fructose 1-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.56,K00882,R13203,fruK,map00051,NA
Fructose utilization,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K01622,R02568,K01622,map00051,NA
Fructose utilization,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K16306,R02568,K16306,map00051,NA
Fructose utilization,fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11],D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K16305,R02568,K16305,map00051,NA
Fructose utilization,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K01623,R02568,ALDO,map00051,NA
Fructose utilization,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K11645,R02568,fbaB,map00051,NA
Fructose utilization,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,Bidirectional,4.1.2.13,K01624,R02568,FBA,map00051,NA
Fructose utilization,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15],ATP + D-Glyceraldehyde <=> ADP + D-Glyceraldehyde 3-phosphate,Bidirectional,2.7.1.28,K00863,R01059,DAK,map00051,NA
Galactose utilization,aldose 1-epimerase [EC:5.1.3.3],D-Galactose <=> alpha-D-Galactose,Forward,5.1.3.3,K01785,R10619,galM,map00052,M00632
Galactose utilization,galactokinase [EC:2.7.1.6],ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate,Bidirectional,2.7.1.6,K00849,R01092,galK,map00052,"M00554, M00632"
Galactose utilization,UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12],UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose,Bidirectional,2.7.7.12,K00965,R00955,galT,map00052,"M00554, M00632"
Galactose utilization,UDP-glucose 4-epimerase [EC:5.1.3.2],UDP-glucose <=> UDP-alpha-D-galactose,Bidirectional,5.1.3.2,K01784,R00291,galE,map00052,"M00632, M01004"
Galactose utilization,UDP-glucose 4-epimerase [EC:5.1.3.2],UDP-glucose <=> UDP-alpha-D-galactose,Bidirectional,5.1.3.2,K17716,R00291,capD,map00052,NA
Galactose utilization,phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7],D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate,Bidirectional,"5.4.2.2, 5.4.2.5",K15779,R00959,PGM2,"map00010, map00052",NA
Galactose utilization,phosphoglucomutase [EC:5.4.2.2],D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate,Bidirectional,"5.4.2.2, 5.4.2.5",K01835,R00959,pgm,"map00010, map00052",NA
Galactose utilization,phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate,Bidirectional,"5.4.2.2, 5.4.2.5",K15778,R00959,pmm-pgm,"map00010, map00052",NA
Galactose utilization,D-galactose 1-dehydrogenase [EC:1.1.1.48],"D-Galactose + NADP+ <=> D-Galactono-1,4-lactone + NADPH + H+",Forward,"1.1.1.48, 1.1.1.120",K00035,R01097,gal,map00052,NA
Galactose utilization,galactose dehydrogenase [EC:1.1.1.48 1.1.1.120],"D-Galactose + NADP+ <=> D-Galactono-1,4-lactone + NADPH + H+",Forward,"1.1.1.48, 1.1.1.120",K22215,R01097,galD,map00052,NA
Galactose utilization,"D-galactono-1,4-lactone hydroxyacylhydrolase","D-Galactono-1,4-lactone + H2O <=> D-Galactonate",Bidirectional,3.1.1.25,NA,R03034,NA,NA,NA
Galactose utilization,galactonate dehydratase [EC:4.2.1.6],D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O,Bidirectional,"4.2.1.6, 4.2.1.140",K01684,R03033,dgoD,map00052,M00552
Galactose utilization,gluconate/galactonate dehydratase [EC:4.2.1.140],D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O,Bidirectional,"4.2.1.6, 4.2.1.140",K05308,R03033,gnaD,map00052,"M00309, M00633"
Galactose utilization,2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51],2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde,Bidirectional,"4.1.2.51, 4.1.2.55",K18127,R10616,kdgA,map00052,M00309
Galactose utilization,2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55],2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde,Bidirectional,"4.1.2.51, 4.1.2.55",K11395,R10616,kdpgA,map00052,"M00309, M00633"
Galactose utilization,2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58],ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate,Bidirectional,"2.7.1.58, 2.7.1.178",K00883,R03387,dgoK,map00052,M00552
Galactose utilization,2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178],ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate,Bidirectional,"2.7.1.58, 2.7.1.178",K18126,R03387,sskdgK,map00052,M00633
Galactose utilization,2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55],2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate,Bidirectional,"4.1.2.21, 4.1.2.55",K11395,R01064,kdpgA,map00052,"M00309, M00633"
Galactose utilization,2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21],2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate,Bidirectional,"4.1.2.21, 4.1.2.55",K01631,R01064,dgoA,map00052,M00552
Mannose utilization,hexokinase [EC:2.7.1.1],ATP + D-Mannose <=> ADP + D-Mannose 6-phosphate,Forward,"2.7.1.1, 2.7.1.7",K00844,R01326,HK,map00051,NA
