md,name,eq,way,ec,ko,rn,symbol,map,mdk
Nitrate reduction by electron carriers,"nitrate reductase (cytochrome) [EC:1.9.6.1], nitrate reductase (cytochrome), electron transfer subunit",2 Ferrocytochrome c + Nitrate <=> 2 Ferricytochrome c + Nitrite + H2O,Forward,1.9.6.1,"K02567, K02568",R03071,"napA, napB",map00910,"M00529, M00530"
Nitrate reduction by electron carriers,"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]",2 Ferrocytochrome c + Nitrate <=> 2 Ferricytochrome c + Nitrite + H2O,Forward,1.7.5.1,"K00370, K00371, K00374",R03071,"narG, narH, narI",map00910,"M00529, M00530"
Nitrate reduction by electron carriers,"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]",Nitrate + Hydroquinone <=> Nitrite + Quinone + H2O,Forward,1.7.5.1,"K00370, K00371, K00374",R09497,"narG, narH, narI",map00910,"M00529, M00530"
Nitrate reduction by electron carriers,"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]",Nitrate + Hydroquinone <=> Nitrite + Quinone + H2O,Forward,1.9.6.1,"K00370, K00371, K00374",R09497,"narG, narH, narI",map00910,"M00529, M00530"
Nitrate reduction by electron carriers,"nitrite reductase (cytochrome c-552) [EC:1.7.2.2], cytochrome c nitrite reductase small subunit",Ammonia + 2 H2O + 6 Ferricytochrome c <=> Nitrite + 6 Ferrocytochrome c + 6 H+,Reverse,1.7.2.2,"K03385, K15876",R05712,"nrfA, nrfH",map00910,M00530
Nitrate reduction by electron carriers,"nitrite reductase (NADH) large subunit [EC:1.7.1.15], nitrite reductase (NADH) small subunit [EC:1.7.1.15]",Ammonia + 3 NAD+ + 2 H2O <=> Nitrite + 3 NADH + 3 H+,Reverse,"1.7.1.4, 1.7.1.15","K00362, K00363",R00787,"nirB, nirD",map00910,M00530
Nitrate reduction by electron carriers,nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1],Nitric oxide + H2O + Ferricytochrome c <=> Nitrite + Ferrocytochrome c + H+,Reverse,1.7.2.1,K15864,R00783,nirS,map00910,"M00529, M00973"
Nitrate reduction by electron carriers,nitrite reductase (NO-forming) [EC:1.7.2.1],Nitric oxide + H2O + Ferricytochrome c <=> Nitrite + Ferrocytochrome c + H+,Reverse,1.7.2.1,K00368,R00783,nirK,map00910,"M00529, M00973"
Nitrate reduction by electron carriers,"nitric oxide reductase subunit B [EC:1.7.2.5], nitric oxide reductase subunit C",2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O,Forward,1.7.2.5,"K04561, K02305",R00294,"norB, norC",map00910,M00529
Nitrate reduction by electron carriers,nitrous-oxide reductase [EC:1.7.2.4],Nitrogen + 2 Ferricytochrome c + H2O <=> Nitrous oxide + 2 Ferrocytochrome c + 2 H+,Reverse,1.7.2.4,K00376,R02804,nosZ,map00910,M00529
Redox balance,NA,NADPH + NAD+ <=> NADP+ + NADH,Bidirectional,NA,NA,R00112,NA,NA,NA
