md,name,eq,way,ec,ko,rn,symbol,map,mdk
Glycolysis,glucokinase [EC:2.7.1.2],ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate,Forward,"2.7.1.1, 2.7.1.2",K00845,R00299,glk,map00500,NA
Glycolysis,glucokinase [EC:2.7.1.2],ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate,Forward,"2.7.1.1, 2.7.1.2",K12407,R00299,GCK,map00500,NA
Glycolysis,glucokinase [EC:2.7.1.2],ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate,Forward,"2.7.1.1, 2.7.1.2",K25026,R00299,glk,map00500,NA
Glycolysis,hexokinase [EC:2.7.1.1],ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate,Forward,"2.7.1.1, 2.7.1.2",K00844,R00299,HK,map00500,NA
Glycolysis,glucose-6-phosphate isomerase [EC:5.3.1.9],D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,Bidirectional,5.3.1.9,K01810,R00771,GPI,map00500,NA
Glycolysis,"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]",D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,Bidirectional,5.3.1.9,K06859,R00771,pgi1,map00500,NA
Glycolysis,glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8],D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,Bidirectional,5.3.1.9,K15916,R00771,pgi-pmi,map00500,NA
Glycolysis,transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9],D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,Bidirectional,5.3.1.9,K13810,R00771,tal-pgi,map00500,NA
Glycolysis,6-phosphofructokinase 1 [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Forward,2.7.1.11,K00850,R00756,pfkA,"map00010, map00030, map00051, map00680",NA
Glycolysis,6-phosphofructokinase 2 [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Forward,2.7.1.11,K16370,R00756,pfkB,"map00010, map00030, map00051, map00680",NA
Glycolysis,6-phosphofructokinase [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Forward,2.7.1.11,K24182,R00756,PFK9,"map00010, map00030, map00051, map00680",NA
Glycolysis,ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Forward,2.7.1.11,K21071,R00756,pfk,"map00010, map00030, map00051, map00680",NA
Glycolysis,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K01622,R01068,K01622,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K16306,R01068,K16306,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11],"D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K16305,R01068,K16305,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K01623,R01068,ALDO,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K11645,R01068,fbaB,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K01624,R01068,FBA,"map00010, map00030, map00051, map00680, map00710",NA
Glycolysis,triosephosphate isomerase (TIM) [EC:5.3.1.1],D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate,Bidirectional,5.3.1.1,K01803,R01015,TPI,"map00010, map00051, map00710",NA
Glycolysis,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,Bidirectional,"1.2.1.12, 1.2.1.59",K00134,R01061,GAPDH,"map00010, map00710","M00001, M00002, M00003, M00165"
Glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59],D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,Bidirectional,"1.2.1.12, 1.2.1.59",K00150,R01061,gap2,"map00010, map00710","M00001, M00002, M00003, M00165"
Glycolysis,"glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]",D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,Bidirectional,"1.2.1.12, 1.2.1.59",K10705,R01061,GAPDHS,"map00010, map00710",NA
Glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59],D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+,Bidirectional,"1.2.1.13, 1.2.1.59",K00150,R01063,gap2,"map00010, map00710","M00001, M00002, M00003, M00165"
Glycolysis,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+,Bidirectional,"1.2.1.13, 1.2.1.59",K05298,R01063,GAPA,"map00010, map00710",NA
Glycolysis,phosphoglycerate kinase [EC:2.7.2.3],ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate,Bidirectional,2.7.2.3,K00927,R01512,PGK,"map00010, map00710","M00001, M00002, M00003, M00165"
Glycolysis,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,Bidirectional,"5.4.2.11, 5.4.2.12",K01834,R01518,PGAM,"map00010, map00680",NA
Glycolysis,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,Bidirectional,"5.4.2.11, 5.4.2.12",K15634,R01518,gpmB,"map00010, map00680",NA
Glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,Bidirectional,"5.4.2.11, 5.4.2.12",K15633,R01518,gpmI,"map00010, map00680",NA
Glycolysis,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,Bidirectional,"5.4.2.11, 5.4.2.12",K15635,R01518,apgM,"map00010, map00680",NA
Glycolysis,bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11],2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate,Bidirectional,"5.4.2.11, 5.4.2.12",K01837,R01518,BPGM,"map00010, map00680",NA
