md,name,eq,way,ec,ko,rn,symbol,map,mdk
Sulfate reduction by electron carriers,3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Forward,2.7.7.4,K13811,R00529,PAPSS,map00920,M00987
Sulfate reduction by electron carriers,"bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25], sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]",ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Forward,2.7.7.4,"K00955, K00957",R00529,"cysNC, cysD",map00920,M00176
Sulfate reduction by electron carriers,sulfate adenylyltransferase [EC:2.7.7.4],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Forward,2.7.7.4,K00958,R00529,sat,map00920,M00596
Sulfate reduction by electron carriers,sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Forward,2.7.7.4,K00956,R00529,cysN,map00920,NA
Sulfate reduction by electron carriers,"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",AMP + Sulfite + FAD <=> Adenylyl sulfate + FADH2,Reverse,1.8.99.2,"K00394, K00395",R08553,"aprA, aprB",map00920,M00596
Sulfate reduction by electron carriers,"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",Sulfite + NAD+ + AMP <=> Adenylyl sulfate + NADH + H+,Reverse,1.8.99.2.A,"K00394, K00395",R1.8.99.2.A,"aprA, aprB",NA,NA
Sulfate reduction by electron carriers,"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",Sulfite + 2 Oxidized ferredoxin + AMP <=> Adenylyl sulfate + 2 Reduced ferredoxin + 2 H+,Reverse,1.8.99.2.B,"K00394, K00395",R1.8.99.2.B,"aprA, aprB",NA,NA
Sulfate reduction by electron carriers,"dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22], dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]",Protein-trisulfide + NAD+ + 3 H2O <=> Protein dithiol + Sulfite + NADH + H+,Reverse,1.8.1.22,"K11180, K11181",R00861,"dsrA, dsrB",map00920,M00596
Sulfate reduction by electron carriers,"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 2 NAD+ <=> Protein-trisulfide + 2 NADH + 2 H+,Reverse,1.8.5.10.A,"K27187, K27188, K27189, K27190, K27191",R1.8.5.10.A,"dsrM, dsrK, dsrJ, dsrO, dsrP",map00920,M00596
Sulfate reduction by electron carriers,"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 4 Oxidized ferredoxin <=> Protein-trisulfide + 4 Reduced ferredoxin + 4 H+,Reverse,1.8.5.10.B,"K27187, K27188, K27189, K27190, K27191",R1.8.5.10.B,"dsrM, dsrK, dsrJ, dsrO, dsrP",map00920,M00596
Sulfate reduction by electron carriers,"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 2 NAD+ <=> Protein-trisulfide + 2 NADH + 2 H+,Forward,1.8.5.10.A,"K27187, K27188, K27189, K27190, K27191",R1.8.5.10.A,"dsrM, dsrK, dsrJ, dsrO, dsrP",map00920,M00596
Sulfate reduction by electron carriers,"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P",Hydrogen sulfide + Protein dithiol + 4 Oxidized ferredoxin <=> Protein-trisulfide + 4 Reduced ferredoxin + 4 H+,Forward,1.8.5.10.B,"K27187, K27188, K27189, K27190, K27191",R1.8.5.10.B,"dsrM, dsrK, dsrJ, dsrO, dsrP",map00920,M00596
Sulfate reduction by electron carriers,"dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22], dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]",Protein-trisulfide + NAD+ + 3 H2O <=> Protein dithiol + Sulfite + NADH + H+,Forward,1.8.1.22,"K11180, K11181",R00861,"dsrA, dsrB",map00920,M00596
Redox balance,NA,NADPH + NAD+ <=> NADP+ + NADH,Bidirectional,NA,NA,R00112,NA,NA,NA
