"rn","ec","eq","way","ko","symbol","name","map","md"
"R02739","5.1.3.15, 5.3.1.9","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","K01810","GPI","glucose-6-phosphate isomerase [EC:5.3.1.9]","map00030","M00004"
"R02739","5.1.3.15, 5.3.1.9","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","K06859","pgi1","glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","map00030","M00004"
"R02739","5.1.3.15, 5.3.1.9","alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate","Bidirectional","K15916","pgi-pmi","glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","map00030","M00004"
"R13199","5.3.1.9","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K01810","GPI","glucose-6-phosphate isomerase [EC:5.3.1.9]","map00030","M00004"
"R13199","5.3.1.9","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K06859","pgi1","glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","map00030","M00004"
"R13199","5.3.1.9","alpha-D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K15916","pgi-pmi","glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","map00030","M00004"
"R01528","1.1.1.44, 1.1.1.351","6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+","Bidirectional","K00033","PGD","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","map00030","M00004, M00006"
"R02035","3.1.1.31","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate","Bidirectional","K13937","H6PD","hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]","map00030","M00004, M00006"
"R02736","1.1.1.49, 1.1.1.363","beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Bidirectional","K13937","H6PD","hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]","map00030","M00004, M00006"
"R10221","1.1.1.343, 1.1.1.351","6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+","Bidirectional","K00033","PGD","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","map00030","M00004, M00006"
"R10907","1.1.1.363, 1.1.1.388","beta-D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+","Bidirectional","K19243","azf","NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]","map00030","M00004, M00006"
"R02035","3.1.1.31","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate","Bidirectional","K01057","PGLS","6-phosphogluconolactonase [EC:3.1.1.31]","map00030","M00004, M00006, M00008"
"R02035","3.1.1.31","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate","Bidirectional","K07404","pgl","6-phosphogluconolactonase [EC:3.1.1.31]","map00030","M00004, M00006, M00008"
"R02736","1.1.1.49, 1.1.1.363","beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Bidirectional","K00036","G6PD","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","map00030","M00004, M00006, M00008"
"R10907","1.1.1.363, 1.1.1.388","beta-D-Glucose 6-phosphate + NAD+ <=> D-Glucono-1,5-lactone 6-phosphate + NADH + H+","Bidirectional","K00036","G6PD","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","map00030","M00004, M00006, M00008"
"R01056","5.3.1.6","D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate","Bidirectional","K01808","rpiB","ribose 5-phosphate isomerase B [EC:5.3.1.6]","map00030","M00004, M00007"
"R01067","2.2.1.1","D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate","Bidirectional","K00615","E2.2.1.1","transketolase [EC:2.2.1.1]","map00030","M00004, M00007"
"R01529","5.1.3.1","D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate","Bidirectional","K01783","rpe","ribulose-phosphate 3-epimerase [EC:5.1.3.1]","map00030","M00004, M00007"
