"nt","md","name","eq","way","ec","ko","rn","symbol","map","mdk"
"Fermentation of glucose","Glycolysis","glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Forward","2.7.1.1, 2.7.1.2","K00845","R00299","glk","map00500",NA
"Fermentation of glucose","Glycolysis","glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Forward","2.7.1.1, 2.7.1.2","K12407","R00299","GCK","map00500",NA
"Fermentation of glucose","Glycolysis","glucokinase [EC:2.7.1.2]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Forward","2.7.1.1, 2.7.1.2","K25026","R00299","glk","map00500",NA
"Fermentation of glucose","Glycolysis","hexokinase [EC:2.7.1.1]","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Forward","2.7.1.1, 2.7.1.2","K00844","R00299","HK","map00500",NA
"Fermentation of glucose","Glycolysis","glucose-6-phosphate isomerase [EC:5.3.1.9]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K01810","R00771","GPI","map00500",NA
"Fermentation of glucose","Glycolysis","glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K06859","R00771","pgi1","map00500",NA
"Fermentation of glucose","Glycolysis","glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K15916","R00771","pgi-pmi","map00500",NA
"Fermentation of glucose","Glycolysis","transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","D-Glucose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","5.3.1.9","K13810","R00771","tal-pgi","map00500",NA
"Fermentation of glucose","Glycolysis","6-phosphofructokinase 1 [EC:2.7.1.11]","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Forward","2.7.1.11","K00850","R00756","pfkA","map00010, map00030, map00051, map00680","M00001, M00345"
"Fermentation of glucose","Glycolysis","6-phosphofructokinase 2 [EC:2.7.1.11]","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Forward","2.7.1.11","K16370","R00756","pfkB","map00010, map00030, map00051, map00680","M00001, M00345"
