"name","eq","way","ec","ko","rn","symbol","map","md"
"(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]","Maltodextrin <=> 1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside","Bidirectional","5.4.99.15","K06044","R01824","treY","map00500","M00565"
"(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]","(2S)-Methylsuccinyl-CoA + Electron-transferring flavoprotein <=> 2-Methylfumaryl-CoA + Reduced electron-transferring flavoprotein","Bidirectional","1.3.8.12","K14448","R09293","mcd","map00630","M00373"
"(3S)-malyl-CoA thioesterase [EC:3.1.2.30]","L-Malyl-CoA + H2O <=> (S)-Malate + CoA","Bidirectional","3.1.2.30","K14451","R10612","mcl2","map00630","M00373"
"(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase [EC:2.5.1.131]","[5-(Aminomethyl)furan-3-yl]methyl diphosphate + gamma-Glutamyltyramine <=> (4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine + Diphosphate","Bidirectional","2.5.1.131","K07072","R11040","mfnF","map00680",NA
"(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]","(5-Formylfuran-3-yl)methyl phosphate + Orthophosphate + 2 H2O <=> 2 D-Glyceraldehyde 3-phosphate","Bidirectional","4.2.3.153","K09733","R10935","mfnB","map00680","M00935"
"(5-formylfuran-3-yl)methyl phosphate transaminase [EC:2.6.1.108]","(5-Formylfuran-3-yl)methyl phosphate + L-Alanine <=> [5-(Aminomethyl)furan-3-yl]methyl phosphate + Pyruvate","Bidirectional","2.6.1.108","K19793","R11038","mfnC","map00680","M00935"
"(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]","Pyruvate + (R)-2-Hydroxyglutarate <=> (R)-Lactate + 2-Oxoglutarate","Bidirectional","1.1.99.40","K21618","R11593","DLD3","map00620",NA
"(R)-lactaldehyde:NAD+ 2-oxidoreductase","(R)-Lactaldehyde + NAD+ + H2O <=> (R)-Lactate + NADH + H+","Bidirectional","1.2.1.23",NA,"R01735",NA,"NA",NA
"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","(R)-Acetoin + NAD+ <=> Diacetyl + NADH + H+","Bidirectional","1.1.1.303","K00004","R02855","BDH","map00650",NA
"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","(R,R)-Butane-2,3-diol + NAD+ <=> (R)-Acetoin + NADH + H+","Bidirectional","1.1.1.4","K00004","R02946","BDH","map00650",NA
"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","meso-2,3-Butanediol + NAD+ <=> (S)-Acetoin + NADH + H+","Bidirectional",NA,"K00004","R10504","BDH","map00650",NA
"(S)-2-hydroxy-acid oxidase [EC:1.1.3.15]","Glycolate + Oxygen <=> Glyoxylate + Hydrogen peroxide","Bidirectional","1.1.3.15","K11517","R00475","HAO","map00630","M00532"
"(S)-citramalyl-CoA lyase [EC:4.1.3.25]","(3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate","Bidirectional","4.1.3.25","K18292","R00237","E4.1.3.25","map00720",NA
"(methylthio)acryloyl-CoA hydratase [EC:4.2.1.155]","3-(Methylthio)acryloyl-CoA + 2 H2O <=> Acetaldehyde + Methanethiol + CoA + CO2","Bidirectional","4.2.1.155","K20036","R10936","dmdD","map00920","M00990"
"1,3-beta-glucan synthase [EC:2.4.1.34]","UDP-glucose + 1,3-beta-D-Glucan <=> UDP + 1,3-beta-D-Glucan","Bidirectional","2.4.1.34","K00706","R03118","E2.4.1.34","map00500",NA
"1,3-propanediol dehydrogenase [EC:1.1.1.202]","Propane-1-ol + NAD+ <=> Propanal + NADH + H+","Bidirectional","1.1.1.202","K00086","R02377","dhaT","map00640",NA
"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","Amylose <=> Starch","Bidirectional","2.4.1.18","K00700","R02110","GBE1","map00500","M00565, M00854"
