reference_network,default_substrates,default_products,selected_organisms,default_unbalanced_intermediates
Fermentation of glucose,D-Glucose,Acetate;(S)-Lactate;(R)-Lactate;Ethanol;Succinate;Propanoate;Butanoic acid;Formate;Hydrogen,Escherichia coli;Lactiplantibacillus plantarum;Clostridium butyricum;Pyrococcus furiosus;Propionibacterium freudenreichii,NAD+;NADH;NADP+;NADPH;Oxidized ferredoxin;Reduced ferredoxin;Quinone;Hydroquinone;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Hydrogen
Fermentation of other hexoses,D-Fructose;D-Galactose;D-Mannose,Acetate;(S)-Lactate;(R)-Lactate;Ethanol;Succinate;Propanoate;Butanoic acid;Formate;Hydrogen,Escherichia coli;Lactiplantibacillus plantarum;Clostridium butyricum;Propionibacterium freudenreichii,NAD+;NADH;NADP+;NADPH;Oxidized ferredoxin;Reduced ferredoxin;Quinone;Hydroquinone;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Hydrogen
Fermentation of pentoses,D-Arabinose;L-Arabinose;D-Ribose;D-Xylose,Acetate;(S)-Lactate;(R)-Lactate;Ethanol;Succinate;Propanoate;Butanoic acid;Formate;Hydrogen,Escherichia coli;Lactiplantibacillus plantarum;Clostridium butyricum;Propionibacterium freudenreichii,NAD+;NADH;NADP+;NADPH;Oxidized ferredoxin;Reduced ferredoxin;Quinone;Hydroquinone;ATP;ADP;AMP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];HCO3-;CO2;Hydrogen
Aerobic respiration (generic),Oxygen,H2O*,Escherichia coli;Pseudomonas aeruginosa;Bacillus subtilis,NAD+;NADH;NADP+;NADPH;Ubiquinone;Ubiquinol;Quinone;Hydroquinone;ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2]
Aerobic respiration of glucose,D-Glucose,CO2;H2O*,Escherichia coli;Pseudomonas aeruginosa;Bacillus subtilis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of other hexoses,D-Fructose;D-Galactose;D-Mannose,CO2;H2O*,Escherichia coli;Pseudomonas aeruginosa;Bacillus subtilis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of pentoses,D-Arabinose;L-Arabinose;D-Ribose;D-Xylose,CO2;H2O*,Escherichia coli;Pseudomonas aeruginosa;Bacillus subtilis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of methane and methanol,Methane;Methanol,Formaldehyde;CO2;H2O*,Methylococcus capsulatus;Methylomonas methanica;Methylosinus trichosporium;Methylocystis parva;Methylorubrum extorquens,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of carbon monoxide,CO,CO2;H2O*,Afipia carboxidovorans;Hydrogenophaga pseudoflava;Rhodospirillum rubrum;Mycobacterium tuberculosis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of ammonia (nitrification),Ammonia,Nitrite;H2O*,Nitrosomonas europaea;Nitrosospira multiformis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of nitrite (nitrification),Nitrite,Nitrate;H2O*,Nitrobacter winogradskyi;Nitrobacter hamburgensis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of sulfur compounds,Hydrogen sulfide;Thiosulfate,Sulfur;Sulfite;Sulfate;Tetrathionate;H2O*,Acidithiobacillus ferrooxidans;Paracoccus pantotrophus;Beggiatoa leptomitoformis;Acidianus ambivalens,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of iron compounds,Fe2+,Fe3+;H2O*,Acidithiobacillus ferrooxidans,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of arsenic compounds,Arsenite,Arsenate ion;H2O*,Herminiimonas arsenicoxydans;Pseudorhizobium banfieldiae,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Aerobic respiration of hydrogen,Hydrogen,H2O*,Hydrogenovibrio marinus;Mycobacterium smegmatis,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Oxygen
Nitrate respiration (generic) (dissimilatory nitrate reduction),Nitrate,Nitrite;Ammonia;Nitrogen,Escherichia coli;Paracoccus denitrificans;Stutzerimonas stutzeri;Aliivibrio fischeri,NAD+;NADH;NADP+;NADPH;Quinone;Hydroquinone;Ferricytochrome c;Ferrocytochrome c;H2O;H+
Nitrate respiration of glucose (dissimilatory nitrate reduction),D-Glucose,CO2;Nitrite;Ammonia;Nitrogen,Escherichia coli;Paracoccus denitrificans;Stutzerimonas stutzeri;Aliivibrio fischeri,ATP;ADP;AMP;ITP;IDP;GTP;GDP;Orthophosphate;Diphosphate;Polyphosphate;H2O;H+;H+[side 1];H+[side 2];Na+[side 1];Na+[side 2];Nitrate
Nitrite respiration of ammonia (anammox),Nitrite,Nitrogen,,H2O;H+;Ammonia
