Organism
Escherichia coli
Lactiplantibacillus plantarum
Lactococcus lactis lactis
Clostridium butyricum
Pyrococcus furiosus
Propionibacterium freudenreichii
Zymomonas mobilis mobilis
Bacteroides fragilis
Enterococcus faecalis
Pseudobutyrivibrio ruminis
Pseudomonas aeruginosa
Bacillus subtilis
Vibrio cholerae
Staphylococcus aureus
Klebsiella pneumoniae pneumoniae
Pseudomonas fluorescens
Klebsiella aerogenes
Methylococcus capsulatus
Methylomonas methanica
Methylosinus trichosporium
Methylocystis parva
Methylorubrum extorquens
Hyphomicrobium denitrificans
Afipia carboxidovorans
Hydrogenophaga pseudoflava
Zavarzinia compransoris
Nitrosomonas europaea
Nitrosospira multiformis
Nitrobacter winogradskyi
Nitrobacter hamburgensis
Acidithiobacillus ferrooxidans
Acidithiobacillus ferridurans
Paracoccus pantotrophus
Beggiatoa leptomitoformis
Acidianus ambivalens
Herminiimonas arsenicoxydans
Pseudorhizobium banfieldiae
Thermocrinis ruber
Hydrogenovibrio marinus
Hydrogenobacter thermophilus
Mycobacterium smegmatis
Helicobacter pylori
Paracoccus denitrificans
Stutzerimonas stutzeri
Aliivibrio fischeri
Thiobacillus denitrificans
Sulfurimonas denitrificans
Nitratidesulfovibrio vulgaris
Desulfobacter postgatei
Desulfovibrio desulfuricans
Archaeoglobus fulgidus
Megalodesulfovibrio gigas
Desulfolutivibrio sulfodismutans
Desulfotignum phosphitoxidans
Wolinella succinogenes
Clostridioides difficile
Salmonella enterica enterica
Campylobacter jejuni jejuni
Shewanella oneidensis
Geobacter metallireducens
Ideonella dechloratans
Stutzerimonas chloritidismutans
Thauera selenatis
Sedimenticola selenatireducens
Aeromonas hydrophila hydrophila
Sulfurospirillum multivorans
Dehalobacter restrictus
Desulfitobacterium hafniense
Halothiobacillus neapolitanus
Sulfurisphaera tokodaii
Methanobrevibacter smithii
Methanobacterium formicicum
Methanothermobacter marburgensis
Methanosarcina mazei
Methanosarcina acetivorans
Methanococcus maripaludis
Methanocaldococcus jannaschii
Methanofollis liminatans
Clostridium ljungdahlii
Acetobacterium woodii
Moorella thermoacetica
Sporomusa ovata
Clostridium pasteurianum
Azotobacter beijerinckii
Bradyrhizobium japonicum
Rhodopseudomonas palustris
Rhodospirillum rubrum
Rhodobacter capsulatus
Cereibacter sphaeroides
Allochromatium vinosum
Ectothiorhodospira mobilis
Chlorobaculum tepidum
Chlorobium limicola
Halobacterium salinarum
Roseobacter denitrificans
Erythrobacter litoralis
Chloroflexus aurantiacus
Thermosynechococcus vestitus
Parasynechococcus marenigrum
Prochlorococcus marinus
