md,name,eq,way,ec,ko,rn,symbol,map,mdk
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K00204",R03015,"fwdA, fwdB, fwdC, fwdD, fwdH",map00680,M00567
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K00205",R03015,"fwdA, fwdB, fwdC, fwdD, fwdF",map00680,M00567
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00200, K00201, K00202, K00203, K11260",R03015,"fwdA, fwdB, fwdC, fwdD, fwdG",map00680,M00567
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K00204, K11261",R11743,"fwdC, fwdD, fwdE, fwdH",NA,NA
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K00205, K11261",R11743,"fwdC, fwdD, fwdE, fwdF",NA,NA
Methanogenesis  with CO2,"formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12], formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12], 4Fe-4S ferredoxin",Formylmethanofuran + 2 Oxidized ferredoxin + H2O <=> Methanofuran + 2 Reduced ferredoxin + CO2 + 2 H+,Bidirectional,1.2.7.12,"K00202, K00203, K11260, K11261",R11743,"fwdC, fwdD, fwdE, fwdG",NA,NA
Methanogenesis  with CO2,formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101],"Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin",Bidirectional,2.3.1.101,K00672,R03390,ftr,map00680,M00567
Methanogenesis  with CO2,methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27],"5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+",Bidirectional,3.5.4.27,K01499,R03464,mch,map00680,M00567
Methanogenesis  with CO2,methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1],"5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420",Bidirectional,1.5.98.1,K00319,R04456,mtd,map00680,M00567
Methanogenesis  with CO2,"5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]","5,10-Methenyltetrahydromethanopterin + Hydrogen <=> 5,10-Methylenetetrahydromethanopterin + H+",Bidirectional,1.12.98.2,K13942,R04455,hmd,map00680,M00567
Methanogenesis  with CO2,"5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]","5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420",Bidirectional,1.5.98.2,K00320,R04464,mer,map00680,M00567
Methanogenesis  with CO2,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K00288,R01220,MTHFD,map00720,NA
Methanogenesis  with CO2,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",Bidirectional,1.5.1.5,K01491,R01220,folD,map00720,M00377
