md,name,eq,way,ec,ko,rn,symbol,map,mdk
Lactate oxidation,L-lactate dehydrogenase [EC:1.1.1.27],(S)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Forward,1.1.1.27,K00016,R00703,LDH,"map00010, map00620",NA
Lactate oxidation,D-lactate dehydrogenase,(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Forward,1.1.1.28,K18930,R00704,dld,map00620,NA
Lactate oxidation,D-lactate dehydrogenase (acceptor) [EC:1.1.99.6],(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Forward,1.1.1.28,K21836,R00704,dld,map00620,NA
Lactate oxidation,D-lactate dehydrogenase (quinone) [EC:1.1.5.12],(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Forward,1.1.1.28,K03777,R00704,dld,map00620,NA
Lactate oxidation,D-lactate dehydrogenase [EC:1.1.1.28],(R)-Lactate + NAD+ <=> Pyruvate + NADH + H+,Forward,1.1.1.28,K03778,R00704,ldhA,map00620,NA
Lactate oxidation,lactate racemase [EC:5.1.2.1],(S)-Lactate <=> (R)-Lactate,Bidirectional,5.1.2.1,K22373,R01450,larA,map00620,NA
Lactate oxidation,"lactate dehydrogenase (NAD+,ferredoxin) subunit LctD [EC:1.1.1.436], lactate dehydrogenase (NAD+,ferredoxin) subunit LctC, lactate dehydrogenase (NAD+,ferredoxin) subunit LctB",(S)-Lactate + 2 NAD+ + 2 Reduced ferredoxin <=> Pyruvate + 2 NADH + 2 Oxidized ferredoxin,Forward,1.1.1.436,"K26113, K26114, K26115",R13050,"lctD, lctC, lctB",map00620,NA
Pyruvate synthesis,pyruvate dehydrogenase E1 component [EC:1.2.4.1],Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2,Reverse,1.2.4.1,K00163,R01699,aceE,NA,NA
Pyruvate synthesis,"pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2,Reverse,1.2.4.1,"K00161, K00162",R01699,"PDHA, PDHB",NA,NA
Pyruvate synthesis,"acetolactate synthase I/II/III large subunit [EC:2.2.1.6], acetolactate synthase I/III small subunit [EC:2.2.1.6]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Reverse,"1.2.4.1, 2.2.1.6, 4.1.1.1","K01652, K01653",R00014,"E2.2.1.6L, E2.2.1.6S","map00010, map00020, map00620",NA
Pyruvate synthesis,"acetolactate synthase II small subunit [EC:2.2.1.6], acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Reverse,"1.2.4.1, 2.2.1.6, 4.1.1.1","K01652, K11258",R00014,"ilvM, E2.2.1.6L","map00010, map00020, map00620",NA
Pyruvate synthesis,pyruvate decarboxylase [EC:4.1.1.1],Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Reverse,"1.2.4.1, 2.2.1.6, 4.1.1.1",K01568,R00014,PDC,"map00010, map00020, map00620",NA
Pyruvate synthesis,pyruvate dehydrogenase E1 component [EC:1.2.4.1],Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Reverse,"1.2.4.1, 2.2.1.6, 4.1.1.1",K00163,R00014,aceE,"map00010, map00020, map00620",NA
Pyruvate synthesis,"pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Reverse,"1.2.4.1, 2.2.1.6, 4.1.1.1","K00161, K00162",R00014,"PDHA, PDHB","map00010, map00020, map00620",NA
Pyruvate synthesis,pyruvate dehydrogenase E1 component [EC:1.2.4.1],2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,Reverse,1.2.4.1,K00163,R03270,aceE,"map00010, map00020, map00620",NA
Pyruvate synthesis,"pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,Reverse,1.2.4.1,"K00161, K00162",R03270,"PDHA, PDHB","map00010, map00020, map00620",NA
