abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
6-phosphofructokinase 1 [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.11,K00850,M00001,R00756,pfkA,pfkA
6-phosphofructokinase 2 [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.11,K16370,M00001,R00756,pfkB,pfkB
ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.11,K21071,M00001,R00756,pfk,pfk
6-phosphofructokinase [EC:2.7.1.11],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.11,K24182,M00001,R00756,PFK9,PFK9
ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],"Diphosphate + D-Fructose 6-phosphate <=> Orthophosphate + D-Fructose 1,6-bisphosphate",Bidirectional,2.7.1.90,K21071,M00001,R00764,pfk,pfk
fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11],"D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K16305,M00001,R01068,K16305,K16305
"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",Bidirectional,4.1.2.13,K16306,M00001,R01068,K16306,K16306
hexokinase [EC:2.7.1.1],ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate,Bidirectional,"2.7.1.1, 2.7.1.2",K00844,M00001,R01600,HK,HK
glucokinase [EC:2.7.1.2],ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate,Bidirectional,"2.7.1.1, 2.7.1.2",K00845,M00001,R01600,glk,glk
glucokinase [EC:2.7.1.2],ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate,Bidirectional,"2.7.1.1, 2.7.1.2",K12407,M00001,R01600,GCK,GCK
glucokinase [EC:2.7.1.2],ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate,Bidirectional,"2.7.1.1, 2.7.1.2",K25026,M00001,R01600,glk,glk
hexokinase [EC:2.7.1.1],ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate,Bidirectional,"2.7.1.1, 2.7.1.2",K00844,M00001,R01786,HK,HK
