abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
malate dehydrogenase [EC:1.1.1.37],(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,Bidirectional,"1.1.1.37, 1.1.1.299",K00024,M00168,R00342,mdh,mdh
malate dehydrogenase [EC:1.1.1.37],(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,Bidirectional,"1.1.1.37, 1.1.1.299",K00025,M00168,R00342,MDH1,MDH1
malate dehydrogenase [EC:1.1.1.37],(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,Bidirectional,"1.1.1.37, 1.1.1.299",K00026,M00168,R00342,MDH2,MDH2
phosphoenolpyruvate carboxylase [EC:4.1.1.31],Orthophosphate + Oxaloacetate <=> H2O + Phosphoenolpyruvate + CO2,Bidirectional,4.1.1.31,K01595,"M00168, M00172",R00345,ppc,ppc
"pyruvate, orthophosphate dikinase [EC:2.7.9.1]",ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate,Bidirectional,2.7.9.1,K01006,"M00169, M00172",R00206,ppdK,ppdK
malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+,Bidirectional,1.1.1.40,K00029,"M00169, M00172",R00216,maeB,maeB
malate dehydrogenase (NADP+) [EC:1.1.1.82],(S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+,Bidirectional,"1.1.1.82, 1.1.1.299",K00051,M00172,R00343,E1.1.1.82,E1.1.1.82
"pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Bidirectional,"1.2.4.1, 2.2.1.6, 4.1.1.1","K00161, K00162, K00627, K00382",M00307,R00014,"PDHA, PDHB","PDHA, PDHB"
pyruvate dehydrogenase E1 component [EC:1.2.4.1],Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Bidirectional,"1.2.4.1, 2.2.1.6, 4.1.1.1","K00163, K00627, K00382",M00307,R00014,aceE,aceE
"pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]",2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,Bidirectional,"1.2.7.1, 1.2.7.11","K00169, K00170, K00171, K00172",M00307,R01196,"porA, porB, porD, porC","porA, porB, porD, porC"
"pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1], 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]",2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,Bidirectional,"1.2.7.1, 1.2.7.11","K00169, K00170, K00171, K00189",M00307,R01196,"porA, porB, porD, vorG","porA, porB, porD, vorG"
pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,Bidirectional,"1.2.7.1, 1.2.7.11",K03737,M00307,R01196,por,por
pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12],Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,Bidirectional,2.3.1.12,"K00161, K00162, K00627, K00382",M00307,R02569,DLAT,DLAT
pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12],Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,Bidirectional,2.3.1.12,"K00163, K00627, K00382",M00307,R02569,DLAT,DLAT
"pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,Bidirectional,1.2.4.1,"K00161, K00162, K00627, K00382",M00307,R03270,"PDHA, PDHB","PDHA, PDHB"
pyruvate dehydrogenase E1 component [EC:1.2.4.1],2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate,Bidirectional,1.2.4.1,"K00163, K00627, K00382",M00307,R03270,aceE,aceE
dihydrolipoyl dehydrogenase [EC:1.8.1.4],Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+,Bidirectional,1.8.1.4,"K00161, K00162, K00627, K00382",M00307,R07618,DLD,DLD
dihydrolipoyl dehydrogenase [EC:1.8.1.4],Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+,Bidirectional,1.8.1.4,"K00163, K00627, K00382",M00307,R07618,DLD,DLD
pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],Pyruvate + CoA + Oxidized flavodoxin <=> Acetyl-CoA + CO2 + Reduced flavodoxin,Bidirectional,,K03737,M00307,R10866,por,por
phosphate acetyltransferase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K00625,M00579,R00230,pta,pta
phosphate acetyltransferase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K13788,M00579,R00230,pta,pta
putative phosphotransacetylase [EC:2.3.1.8],Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K15024,M00579,R00230,K15024,K15024
acetate kinase [EC:2.7.2.1],ATP + Acetate <=> ADP + Acetyl phosphate,Bidirectional,"2.7.2.1, 2.7.2.15",K00925,M00579,R00315,ackA,ackA
pyruvate decarboxylase [EC:4.1.1.1],Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Bidirectional,"1.2.4.1, 2.2.1.6, 4.1.1.1",K01568,None,R00014,PDC,PDC
"acetolactate synthase I/II/III large subunit [EC:2.2.1.6], acetolactate synthase I/III small subunit [EC:2.2.1.6]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Bidirectional,"1.2.4.1, 2.2.1.6, 4.1.1.1","K01652, K01653",None,R00014,"E2.2.1.6L, E2.2.1.6S","E2.2.1.6L, E2.2.1.6S"
acetolactate synthase II small subunit [EC:2.2.1.6],Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,Bidirectional,"1.2.4.1, 2.2.1.6, 4.1.1.1",K11258,None,R00014,ilvM,ilvM
L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,Bidirectional,1.1.2.3,K00101,None,R00196,lldD,lldD
D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4],(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+,Bidirectional,1.1.2.4,K00102,None,R00197,LDHD,LDHD
"pyruvate, water dikinase [EC:2.7.9.2]",ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate,Bidirectional,2.7.9.2,K01007,None,R00199,pps,pps
pyruvate kinase [EC:2.7.1.40],ATP + Pyruvate <=> ADP + Phosphoenolpyruvate,Bidirectional,2.7.1.40,K00873,None,R00200,PK,PK
pyruvate kinase isozymes R/L [EC:2.7.1.40],ATP + Pyruvate <=> ADP + Phosphoenolpyruvate,Bidirectional,2.7.1.40,K12406,None,R00200,PKLR,PKLR
lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21],Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+,Bidirectional,"1.2.1.22, 1.2.1.23",K07248,None,R00203,aldA,aldA
pyruvate oxidase [EC:1.2.3.3],Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2,Bidirectional,1.2.3.3,K00158,None,R00207,spxB,spxB
formate C-acetyltransferase [EC:2.3.1.54],Acetyl-CoA + Formate <=> CoA + Pyruvate,Bidirectional,2.3.1.54,K00656,None,R00212,E2.3.1.54,E2.3.1.54
malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38],(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,Bidirectional,"1.1.1.38, 1.1.1.39",K00027,None,R00214,ME2,ME2
malate dehydrogenase (decarboxylating) [EC:1.1.1.39],(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,Bidirectional,"1.1.1.38, 1.1.1.39",K00028,None,R00214,E1.1.1.39,E1.1.1.39
oxaloacetate decarboxylase [EC:4.1.1.112],Oxaloacetate <=> Pyruvate + CO2,Bidirectional,"1.1.1.38, 1.1.1.40, 4.1.1.112",K01003,None,R00217,bcpA,bcpA
acetyl-CoA hydrolase [EC:3.1.2.1],Acetyl-CoA + H2O <=> CoA + Acetate,Bidirectional,3.1.2.1,K01067,None,R00227,E3.1.2.1,E3.1.2.1
acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,Bidirectional,1.2.1.10,K00132,None,R00228,E1.2.1.10,E1.2.1.10
aldehyde dehydrogenase,Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,Bidirectional,1.2.1.10,K04021,None,R00228,eutE,eutE
acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1],Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,Bidirectional,1.2.1.10,K04072,None,R00228,adhE,adhE
acetaldehyde dehydrogenase [EC:1.2.1.10],Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,Bidirectional,1.2.1.10,K04073,None,R00228,mhpF,mhpF
acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87],Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+,Bidirectional,1.2.1.10,K18366,None,R00228,bphJ,bphJ
"acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13], acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]",ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate,Bidirectional,6.2.1.13,"K01905, K22224",None,R00229,"acdA, acdB","acdA, acdB"
acetate---CoA ligase (ADP-forming) [EC:6.2.1.13],ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate,Bidirectional,6.2.1.13,K24012,None,R00229,acdAB,acdAB
phosphotransacetylase,Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate,Bidirectional,2.3.1.8,K04020,None,R00230,eutD,eutD
acetyl-CoA synthetase [EC:6.2.1.1],Acetyl adenylate + CoA <=> AMP + Acetyl-CoA,Bidirectional,6.2.1.1,K01895,None,R00236,ACSS1_2,ACSS1_2
acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2],Acetyl adenylate + CoA <=> AMP + Acetyl-CoA,Bidirectional,6.2.1.1,K01913,None,R00236,AAE7,AAE7
acetyl-CoA C-acetyltransferase [EC:2.3.1.9],2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,Bidirectional,"2.3.1.9, 2.3.1.16",K00626,None,R00238,ACAT,ACAT
acetyl-CoA acyltransferase [EC:2.3.1.16],2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,Bidirectional,"2.3.1.9, 2.3.1.16",K00632,None,R00238,fadA,fadA
acetyl-CoA acyltransferase 2 [EC:2.3.1.16],2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,Bidirectional,"2.3.1.9, 2.3.1.16",K07508,None,R00238,ACAA2,ACAA2
acetyl-CoA acyltransferase [EC:2.3.1.16],2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,Bidirectional,"2.3.1.9, 2.3.1.16",K07509,None,R00238,HADHB,HADHB
acetyl-CoA acyltransferase 1 [EC:2.3.1.16],2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,Bidirectional,"2.3.1.9, 2.3.1.16",K07513,None,R00238,ACAA1,ACAA1
