"rn","ec","eq","way","ko","symbol","name","map","md"
"R00019","1.12.7.2","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Bidirectional","K00532","E1.12.7.2","ferredoxin hydrogenase [EC:1.12.7.2]","other_reactions","NA"
"R00019","1.12.7.2","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Bidirectional","K00533, K00534, K06441","E1.12.7.2L, E1.12.7.2S, E1.12.7.2G","ferredoxin hydrogenase large subunit [EC:1.12.7.2], ferredoxin hydrogenase small subunit [EC:1.12.7.2], ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]","other_reactions","NA"
"R00019","1.12.7.2","2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin","Bidirectional","K18016, K18017, K18023","mbhL, mbhK, mbhJ","membrane-bound hydrogenase subunit alpha [EC:1.12.7.2], membrane-bound hydrogenase subunit beta [EC:1.12.7.2], membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]","other_reactions","NA"
"R00029","1.8.2.2","2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c","Bidirectional","K19713","tsdA","thiosulfate dehydrogenase [EC:1.8.2.2]","other_reactions","NA"
"R00700","1.12.1.2","Hydrogen + NAD+ <=> NADH + H+","Bidirectional","K00436, K18007","hoxH, hoxY","NAD-reducing hydrogenase large subunit [EC:1.12.1.2], NAD-reducing hydrogenase small subunit [EC:1.12.1.2]","other_reactions","NA"
"R00700","1.12.1.2","Hydrogen + NAD+ <=> NADH + H+","Bidirectional","K18005, K18006","hoxF, hoxU","[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2], [NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]","other_reactions","NA"
"R00755","4.1.1.1","Acetaldehyde + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate","Bidirectional","K01568","PDC","pyruvate decarboxylase [EC:4.1.1.1]","other_reactions","NA"
"R00761","4.1.2.22","D-Fructose 6-phosphate + Orthophosphate <=> Acetyl phosphate + D-Erythrose 4-phosphate + H2O","Bidirectional","K01621","xfp","xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]","other_reactions","NA"
"R00835","1.1.1.49, 1.1.1.363","D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Bidirectional","K00036","G6PD","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","other_reactions","NA"
"R00860","1.8.99.2","Sulfite + Acceptor + AMP <=> Adenylyl sulfate + Reduced acceptor","Bidirectional","K00394, K00395","aprA, aprB","adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]","other_reactions","NA"
"R00941","1.5.1.6","10-Formyltetrahydrofolate + NADP+ + H2O <=> Tetrahydrofolate + CO2 + NADPH + H+","Bidirectional","K00289","ALDH1L","formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]","other_reactions","NA"
"R00944","3.5.1.10","10-Formyltetrahydrofolate + H2O <=> Formate + Tetrahydrofolate","Bidirectional","K01433","purU","formyltetrahydrofolate deformylase [EC:3.5.1.10]","other_reactions","NA"
"R01195","1.18.1.2","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","K00528","fpr","ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]","other_reactions","NA"
"R01195","1.18.1.2","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","K02641","petH","ferredoxin--NADP+ reductase [EC:1.18.1.2]","other_reactions","NA"
"R01195","1.18.1.2","2 Reduced ferredoxin + NADP+ + H+ <=> 2 Oxidized ferredoxin + NADPH","Bidirectional","K21567","fnr","ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]","other_reactions","NA"
"R01218","1.5.1.15","5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH","Bidirectional","K00295","MTD1","methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]","other_reactions","NA"
"R01218","1.5.1.15","5,10-Methylenetetrahydrofolate + NAD+ <=> 5,10-Methenyltetrahydrofolate + NADH","Bidirectional","K13403","MTHFD2","methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]","other_reactions","NA"
"R01699","1.2.4.1","Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2","Bidirectional","K00161, K00162","PDHA, PDHB","pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]","other_reactions","NA"
"R01699","1.2.4.1","Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2","Bidirectional","K00163","aceE","pyruvate dehydrogenase E1 component [EC:1.2.4.1]","other_reactions","NA"
"R01827","2.2.1.2","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate","Bidirectional","K00616","TALDO1","transaldolase [EC:2.2.1.2]","other_reactions","NA"
"R01827","2.2.1.2","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate","Bidirectional","K13810","tal-pgi","transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","other_reactions","NA"
"R02163","1.6.5.9","Ubiquinol + NAD+ <=> Ubiquinone + NADH + H+","Bidirectional","K03885","ndh","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","other_reactions","NA"
"R02163","1.6.5.9","Ubiquinol + NAD+ <=> Ubiquinone + NADH + H+","Bidirectional","K23948","E1.6.5.9","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","other_reactions","NA"
"R02184","2.7.4.1","ATP + Polyphosphate <=> ADP + Polyphosphate","Bidirectional","K00937","ppk1","polyphosphate kinase [EC:2.7.4.1]","other_reactions","NA"
"R02184","2.7.4.1","ATP + Polyphosphate <=> ADP + Polyphosphate","Bidirectional","K27692","VTC4","vacuolar transporter chaperone complex subunit 4 [EC:2.7.4.1]","other_reactions","NA"
"R02185","2.7.1.63","Polyphosphate + D-Glucose <=> Polyphosphate + D-Glucose 6-phosphate","Bidirectional","K00886","ppgK","polyphosphate glucokinase [EC:2.7.1.63]","other_reactions","NA"
"R02187","2.7.1.63","Polyphosphate + beta-D-Glucose <=> Polyphosphate + beta-D-Glucose 6-phosphate","Bidirectional","K00886","ppgK","polyphosphate glucokinase [EC:2.7.1.63]","other_reactions","NA"
